Mouse genes	Human genes
Socs3	SOCS3
Stra13	STRA13
Syngr2	SYNGR2
Tbc1d16	TBC1D16
Tbcd	TBCD
Tex19.2	TEX19
Tha1	THA1P
Tmc6	TMC6
Tmc8	TMC8
Cldn27	TMEM235
Tnrc6c	TNRC6C
Tspan10	TSPAN10
Usp36	USP36
Uts2r	UTS2R
Wdr45l	WDR45L
Zfp750	ZNF750
Nploc4	NPLOC4
1110017F19Rik	C17orf110
6030468B19Rik	C17orf99
Cdrt4	CDRT4
Fbxo47	FBXO47
Gm11570	KRTAP16-1
D830013H23Rik	LOC100190938
9130409J20Rik	LOC100289255
2610035D17Rik	LOC100499467
B230217C12Rik	LOC100505576
Gm11938	LOC730755
BC100451	LOC732206
Gm12	LRRC3C
Slfn2	SLFN12L
2310004N24Rik	TEN1
Colec12	COLEC12
Zfp161	ZFP161
Cetn1	CETN1
Epb4.1l3	EPB41L3
Mettl4	METTL4
Ndc80	NDC80
Smchd1	SMCHD1
Thoc1	THOC1
Tyms	TYMS
Usp14	USP14
Arhgap28	ARHGAP28
A330050F15Rik	C18orf42
Dlgap1	DLGAP1
L3mbtl4	L3MBTL4
Lpin2	LPIN2
Myl12b	MYL12B
Myom1	MYOM1
Tmem200c	TMEM200C
Txndc2	TXNDC2
Yes1	YES1
Emilin2	EMILIN2
Lama1	LAMA1
Ptpn2	PTPN2
Rab31	RAB31
Ralbp1	RALBP1
Tgif1	TGIF1
Twsg1	TWSG1
Lrrc30	LRRC30
Ankrd12	ANKRD12
Apcdd1	APCDD1
1110012J17Rik	CCDC165
Gnal	GNAL
Napg	NAPG
Ndufv2	NDUFV2
Fam38b	PIEZO2
Ppp4r1	PPP4R1
Rab12	RAB12
Vapa	VAPA
D18Ertd653e	C18orf1
Cep192	CEP192
Cep76	CEP76
Chmp1b	CHMP1B
Cidea	CIDEA
4933403F05Rik	FAM210A
Mppe1	MPPE1
Psmg2	PSMG2
Rnmt	RNMT
Seh1l	SEH1L
Slmo1	SLMO1
Spire1	SPIRE1
Tubb6	TUBB6
Impa2	IMPA2
Mc2r	MC2R
Mc5r	MC5R
Ptprm	PTPRM
Adcyap1	ADCYAP1
Afg3l2	AFG3L2
Asxl3	ASXL3
B4galt6	B4GALT6
Npc1	NPC1
Slc14a1	SLC14A1
Gata6	GATA6
Osbpl1a	OSBPL1A
Rock1	ROCK1
Abhd3	ABHD3
Ankrd29	ANKRD29
Aqp4	AQP4
3110002H16Rik	C18orf8
Cables1	CABLES1
Cabyr	CABYR
Cdh2	CDH2
Chst9	CHST9
Esco1	ESCO1
Greb1l	GREB1L
Hrh4	HRH4
Impact	IMPACT
Kctd1	KCTD1
Lama3	LAMA3
Mib1	MIB1
Psma8	PSMA8
Rbbp8	RBBP8
Riok3	RIOK3
Snrpd1	SNRPD1
Ss18	SS18
Taf4b	TAF4B
6030446N20Rik	TMEM241
Ttc39c	TTC39C
Zfp521	ZNF521
Celf4	CELF4
Cxxc1	CXXC1
Dtna	DTNA
Fhod3	FHOD3
Ier3ip1	IER3IP1
Mocos	MOCOS
Nol4	NOL4
Pstpip2	PSTPIP2
Zfp191	ZNF24
4921528I01Rik	C18orf34
Dsc1	DSC1
Dsc2	DSC2
Dsc3	DSC3
Dsg1a	DSG1
Dsg2	DSG2
Dsg3	DSG3
Dsg4	DSG4
Fam59a	FAM59A
Galnt1	GALNT1
Klhl14	KLHL14
Mapre2	MAPRE2
Rnf125	RNF125
Rnf138	RNF138
Slc14a2	SLC14A2
Trappc8	TRAPPC8
Ttr	TTR
2700062C07Rik	C18orf21
Elp2	ELP2
Ino80c	INO80C
AW554918	KIAA1328
Mep1b	MEP1B
Rprd1a	RPRD1A
Slc39a6	SLC39A6
5730494M16Rik	TPGS2
Zfp397	ZNF397
Zscan30	ZSCAN30
5430411K18Rik	EPG5
Pik3c3	PIK3C3
Rit2	RIT2
Siglec15	SIGLEC15
Syt4	SYT4
Atp5a1	ATP5A1
Atp8b1	ATP8B1
Ccdc68	CCDC68
Elac1	ELAC1
Malt1	MALT1
Mbd1	MBD1
Mbd2	MBD2
Me2	ME2
Mro	MRO
Myo5b	MYO5B
Nedd4l	NEDD4L
Rpl17	RPL17
Snord58b	SNORD58B
Acaa2	ACAA2
8030462N17Rik	C18orf25
BC031181	C18orf32
Ccdc11	CCDC11
Ctif	CTIF
Dym	DYM
Grp	GRP
Haus1	HAUS1
Hdhd2	HDHD2
Katnal2	KATNAL2
Lipg	LIPG
Loxhd1	LOXHD1
Pias2	PIAS2
Poli	POLI
Rnf165	RNF165
Scarna17	SCARNA17
Setbp1	SETBP1
Ska1	SKA1
Skor2	SKOR2
Smad2	SMAD2
Smad4	SMAD4
Smad7	SMAD7
St8sia5	ST8SIA5
Tcf4	TCF4
Zbtb7c	ZBTB7C
2310002L13Rik	C18orf26
4930503L19Rik	C18orf54
Mapk4	MAPK4
Mex3c	MEX3C
Rab27b	RAB27B
Stard6	STARD6
Bcl2	BCL2
Dcc	DCC
Fech	FECH
Kdsr	KDSR
Lman1	LMAN1
Serpinb10-ps	SERPINB10
Serpinb11	SERPINB11
Serpinb12	SERPINB12
Serpinb13	SERPINB13
Serpinb2	SERPINB2
Serpinb3d	SERPINB3
Serpinb3c	SERPINB4
Serpinb5	SERPINB5
Serpinb8	SERPINB8
Alpk2	ALPK2
Gm7843	BOD1P
Nars	NARS
Onecut2	ONECUT2
St8sia3	ST8SIA3
Txnl1	TXNL1
Wdr7	WDR7
Ccbe1	CCBE1
Cplx4	CPLX4
Pmaip1	PMAIP1
Rax	RAX
Sec11c	SEC11C
Zfp532	ZNF532
Cdh20	CDH20
2310035C23Rik	KIAA1468
Phlpp1	PHLPP1
Pign	PIGN
Rnf152	RNF152
Serpinb7	SERPINB7
Vps4b	VPS4B
Zcchc2	ZCCHC2
Mc4r	MC4R
Tmx3	TMX3
Zfp236	ZNF236
Cdh19	CDH19
Cdh7	CDH7
Dsel	DSEL
Tnfrsf11a	TNFRSF11A
Dok6	DOK6
Neto1	NETO1
Rttn	RTTN
Socs6	SOCS6
Gm17266	C18orf63
Cbln2	CBLN2
Cd226	CD226
Cndp1	CNDP1
Cndp2	CNDP2
Fam69c	FAM69C
Fbxo15	FBXO15
1700034H14Rik	TIMM21
Tshz1	TSHZ1
Zadh2	ZADH2
Adnp2	ADNP2
Atp9b	ATP9B
Ctdp1	CTDP1
Cyb5	CYB5A
Galr1	GALR1
Hsbp1l1	HSBP1L1
Kcng2	KCNG2
Mbp	MBP
Nfatc1	NFATC1
Pard6g	PARD6G
Pqlc1	PQLC1
Rbfa	RBFA
Sall3	SALL3
Txnl4a	TXNL4A
Zfp407	ZNF407
Zfp516	ZNF516
5031415H12Rik	FLJ35776
Eef2	EEF2
Fam32a	FAM32A
Abca7	ABCA7
Acer1	ACER1
Acp5	ACP5
Acsbg2	ACSBG2
Adamtsl5	ADAMTSL5
Adat3	ADAT3
Aes	AES
Alkbh7	ALKBH7
Amh	AMH
Angptl4	ANGPTL4
Ankrd24	ANKRD24
Ap3d1	AP3D1
Apba3	APBA3
Apc2	APC2
Arhgef18	ARHGEF18
Arid3a	ARID3A
Arrdc5	ARRDC5
Atcay	ATCAY
Atp5d	ATP5D
Atp8b3	ATP8B3
Bsg	BSG
Btbd2	BTBD2
D17Wsu104e	C19orf10
9130017N09Rik	C19orf21
1600002K03Rik	C19orf24
2310011J03Rik	C19orf25
2510012J08Rik	C19orf29
AC087114.7gm12	C19orf6
2410015M20Rik	C19orf70
4930404N11Rik	C19orf71
2210404O07Rik	C19orf77
C2cd4c	C2CD4C
C3	C3
Calr	CALR
Ccdc94	CCDC94
Cd320	CD320
Cdc34	CDC34
Cfd	CFD
Chaf1a	CHAF1A
Cirbp	CIRBP
Clpp	CLPP
Cnn2	CNN2
Crb3	CRB3
Creb3l3	CREB3L3
Csnk1g2	CSNK1G2
Dapk3	DAPK3
Dazap1	DAZAP1
Dennd1c	DENND1C
Diras1	DIRAS1
Dohh	DOHH
Dot1l	DOT1L
Dpp9	DPP9
Dus3l	DUS3L
Ebi3	EBI3
Efna2	EFNA2
Elane	ELANE
Emr1	EMR1
Epor	EPOR
Fam108a	FAM108A1
Fcer2a	FCER2
Fem1a	FEM1A
Fgf22	FGF22
Fsd1	FSD1
Fzr1	FZR1
Gadd45b	GADD45B
Gamt	GAMT
Gipc3	GIPC3
Gna11	GNA11
Gna15	GNA15
Gng7	GNG7
Gpr108	GPR108
Gpx4	GPX4
Grin3b	GRIN3B
Gtf2f1	GTF2F1
Gzmm	GZMM
Hcn2	HCN2
Hdgfrp2	HDGFRP2
Hmg20b	HMG20B
Hmha1	HMHA1
Hnrnpm	HNRNPM
Icam1	ICAM1
Insr	INSR
Itgb1bp3	ITGB1BP3
Izumo4	IZUMO4
Jsrp1	JSRP1
Kdm4b	KDM4B
Khsrp	KHSRP
Kiss1r	KISS1R
Klf16	KLF16
Lingo3	LINGO3
Lmnb2	LMNB2
BC005764	LPPR3
Lrg1	LRG1
Lsm7	LSM7
Madcam1	MADCAM1
Map2k2	MAP2K2
Map2k7	MAP2K7
Matk	MATK
Mbd3	MBD3
Med16	MED16
Mex3d	MEX3D
F630110N24Rik	MFSD12
Midn	MIDN
Mier2	MIER2
Mknk2	MKNK2
Mllt1	MLLT1
Mob3a	MOB3A
Mpnd	MPND
Mrpl54	MRPL54
Mum1	MUM1
Myo1f	MYO1F
Ncln	NCLN
Ndufa11	NDUFA11
Ndufs7	NDUFS7
Nfic	NFIC
Nfix	NFIX
Nrtn	NRTN
Oaz1	OAZ1
Odf3l2	ODF3L2
Onecut3	ONECUT3
Palm	PALM
Pcsk4	PCSK4
Pias4	PIAS4
Pip5k1c	PIP5K1C
Plekhj1	PLEKHJ1
Plin3	PLIN3
Plin4	PLIN4
Plin5	PLIN5
Plk5	PLK5
Polr2e	POLR2E
Polrmt	POLRMT
Prss57	PRSS57
Prtn3	PRTN3
Pspn	PSPN
Ptbp1	PTBP1
Ptprs	PTPRS
Qtrt1	QTRT1
C030046I01Rik	R3HDM4
Ranbp3	RANBP3
Reep6	REEP6
Rexo1	REXO1
Rfx2	RFX2
Rnf126	RNF126
Rpl36	RPL36
Rps15	RPS15
S1pr4	S1PR4
Safb	SAFB
Safb2	SAFB2
Sbno2	SBNO2
Scamp4	SCAMP4
Sema6b	SEMA6B
Sf3a2	SF3A2
Sh3gl1	SH3GL1
Shc2	SHC2
Shd	SHD
Sirt6	SIRT6
Slc25a23	SLC25A23
Slc25a41	SLC25A41
Slc39a3	SLC39A3
Snord37	SNORD37
3110056O03Rik	SPPL2B
Stap2	STAP2
Stk11	STK11
Stxbp2	STXBP2
Tbxa2r	TBXA2R
Tcf3	TCF3
Theg	THEG
Thop1	THOP1
Ticam1	TICAM1
Timm13	TIMM13
Timm44	TIMM44
Tjp3	TJP3
Tle2	TLE2
Tle6	TLE6
Tm6sf2	TM6SF2
Tmem146	TMEM146
Tmprss9	TMPRSS9
Tnfaip8l1	TNFAIP8L1
Tnfsf14	TNFSF14
Tnfsf9	TNFSF9
Gm16517	TPGS1
Trip10	TRIP10
Tubb4a	TUBB4A
Ubl5	UBL5
Uhrf1	UHRF1
Uqcr11	UQCR11
Vmac	VMAC
Wdr18	WDR18
Zbtb7a	ZBTB7A
Zfr2	ZFR2
Zfp358	ZNF358
Znrf4	ZNRF4
Actl9	ACTL9
Adamts10	ADAMTS10
Angptl6	ANGPTL6
Ap1m2	AP1M2
Atg4d	ATG4D
Best2	BEST2
AB124611	C19orf38
2310036O22Rik	C19orf43
1700019B03Rik	C19orf45
1810026J23Rik	C19orf52
D8Ertd738e	C19orf53
1810033B17Rik	C19orf59
A230050P20Rik	C19orf66
Gm6484	C19orf80
Camsap3	CAMSAP3
Carm1	CARM1
Ccdc130	CCDC130
Ccdc151	CCDC151
Ccdc159	CCDC159
Ccl25	CCL25
Cdc37	CDC37
Lass4	CERS4
Clec4g	CLEC4G
Cnn1	CNN1
Col5a3	COL5A3
Ctxn1	CTXN1
Cyp4f18	CYP4F3
Dand5	DAND5
Dhps	DHPS
Dnajb1	DNAJB1
Dnase2a	DNASE2
Dnm2	DNM2
Dnmt1	DNMT1
Dock6	DOCK6
Ecsit	ECSIT
Eif3g	EIF3G
Elavl1	ELAVL1
Elavl3	ELAVL3
Elof1	ELOF1
Evi5l	EVI5L
Farsa	FARSA
Fbxl12	FBXL12
Fbxw9	FBXW9
Fdx1l	FDX1L
BC068157	FLJ22184
Gadd45gip1	GADD45GIP1
Gcdh	GCDH
Hook2	HOOK2
Icam4	ICAM4
Icam5	ICAM5
Ier2	IER2
Ilf3	ILF3
Insl3	INSL3
Junb	JUNB
Jund	JUND
Kank2	KANK2
Kank3	KANK3
Keap1	KEAP1
Klf1	KLF1
Kri1	KRI1
Ldlr	LDLR
Lonp1	LONP1
Lphn1	LPHN1
BC018242	LPPR2
Lrrc8e	LRRC8E
Lyl1	LYL1
March2	MARCH2
Mast1	MAST1
Mbd3l1	MBD3L1
Mbd3l2	MBD3L2
Mcoln1	MCOLN1
Mri1	MRI1
Muc16	MUC16
Nacc1	NACC1
Ndufa13	NDUFA13
Ndufa7	NDUFA7
Notch3	NOTCH3
Olfm2	OLFM2
Olfr24	OR1M1
Olfr372	OR2Z1
Olfr867	OR7D4
Olfr18	OR7E24
Olfr853	OR7G1
Olfr854	OR7G2
Olfr834	OR7G3
Pcp2	PCP2
Pde4a	PDE4A
Pex11c	PEX11G
Pgls	PGLS
Plvap	PLVAP
Pnpla6	PNPLA6
Pram1	PRAM1
Prdx2	PRDX2
Prkcsh	PRKCSH
Rab11b	RAB11B
Rab3a	RAB3A
Rab3d	RAB3D
Rad23a	RAD23A
Raver1	RAVER1
Rdh8	RDH8
Retn	RETN
Rgl3	RGL3
Rln3	RLN3
Rnaseh2a	RNASEH2A
Rpl10-ps3	RPL10P16
Rps28	RPS28
S1pr2	S1PR2
S1pr5	S1PR5
Slc5a5	SLC5A5
Smarca4	SMARCA4
Spc24	SPC24
2310047B19Rik	SWSAP1
Syce2	SYCE2
Tmed1	TMED1
Tmem205	TMEM205
Tnpo2	TNPO2
Trappc5	TRAPPC5
Trmt1	TRMT1
Tyk2	TYK2
Upf1	UPF1
Vav1	VAV1
Wdr83	WDR83
BC056474	WDR83OS
Xab2	XAB2
Yipf2	YIPF2
Zglp1	ZGLP1
Zfp266	ZNF266
Zfp414	ZNF414
Zfp426	ZNF426
Zfp961	ZNF490
Zfp558	ZNF558
Zfp560	ZNF560
Zfp563	ZNF563
Zfp872	ZNF564
Zfp867	ZNF627
Zfp653	ZNF653
Zfp791	ZNF791
Zfp799	ZNF799
Zfp81	ZNF823
Zfp846	ZNF846
AU041133	ZNF878
Nanos3	NANOS3
Zswim4	ZSWIM4
Akap8l	AKAP8L
Ap1m1	AP1M1
Asf1b	ASF1B
4930432K21Rik	C19orf57
1700067K01Rik	C19orf67
Cc2d1a	CC2D1A
Ccdc105	CCDC105
Cib3	CIB3
Cyp4f15	CYP4F2
Cyp4f39	CYP4F22
Dcaf15	DCAF15
Ddx39	DDX39A
Ephx3	EPHX3
Hsh2d	HSH2D
2210011C24Rik	LOC113230
Ndufb7	NDUFB7
Olfr239	OR10H5
Olfr1357	OR1I1
Olfr57	OR7A17
Palm3	PALM3
Pglyrp2	PGLYRP2
Pkn1	PKN1
Podnl1	PODNL1
Rasal3	RASAL3
Samd1	SAMD1
Slc1a6	SLC1A6
Syde1	SYDE1
Tecr	TECR
Abhd8	ABHD8
Ankle1	ANKLE1
Ano8	ANO8
Armc6	ARMC6
Arrdc2	ARRDC2
Atp13a1	ATP13A1
5430437P03Rik	BABAM1
9130011J15Rik	C19orf42
1700030K09Rik	C19orf44
2810428I15Rik	C19orf60
Calr3	CALR3
Ccdc124	CCDC124
Cilp2	CILP2
Cope	COPE
Crtc1	CRTC1
Dda1	DDA1
Eps15l1	EPS15L1
Fam125a	FAM125A
Fam129c	FAM129C
Fcho1	FCHO1
Gatad2a	GATAD2A
Gdf15	GDF15
Glt25d1	GLT25D1
Gmip	GMIP
Gtpbp3	GTPBP3
Haus8	HAUS8
Homer3	HOMER3
Il27ra	IL27RA
Isyna1	ISYNA1
Klf2	KLF2
Klhl26	KLHL26
2810422J05Rik	KXD1
Lrrc25	LRRC25
Lsm4	LSM4
Mtap1s	MAP1S
Mast3	MAST3
Mau2	MAU2
Med26	MED26
2310045N01Rik	MEF2BNB
Mef2b	MEF2BNB-MEF2B
Mpv17l2	MPV17L2
Nr2c2ap	NR2C2AP
Nwd1	NWD1
Nxnl1	NXNL1
Ocel1	OCEL1
Pde4c	PDE4C
Pgpep1	PGPEP1
Sin3b	SIN3B
Slc25a42	SLC25A42
Slc27a1	SLC27A1
Slc35e1	SLC35E1
Sugp1	SUGP1
Tmem161a	TMEM161A
Tmem221	TMEM221
Tmem38a	TMEM38A
Tssk6	TSSK6
Unc13a	UNC13A
Use1	USE1
Yjefn3	YJEFN3
Zfp709	ZNF14
Akap8	AKAP8
B3gnt3	B3GNT3
Brd4	BRD4
Bst2	BST2
Casp14	CASP14
Cherp	CHERP
Comp	COMP
Cyp4f40	CYP4F11
Cyp4f14	CYP4F12
Cyp4f17	CYP4F8
Ell	ELL
Gipc1	GIPC1
Hapln4	HAPLN4
Ifi30	IFI30
Il12rb1	IL12RB1
Ilvbl	ILVBL
Jak3	JAK3
Kcnn1	KCNN1
Gm16486	KIAA1683
Mrpl34	MRPL34
Myo9b	MYO9B
Nr2f6	NR2F6
Gm4461	OR10H2
Olfr63	OR10H3
Olfr1352	OR7A5
Olfr870	OR7C1
Olfr1356	OR7C2
Prkaca	PRKACA
Ptger1	PTGER1
Rab8a	RAB8A
Rfx1	RFX1
Slc44a2	SLC44A2
Ssbp4	SSBP4
Tpm4	TPM4
Uba52	UBA52
Wiz	WIZ
Zfp458	ZNF43
Cacna1a	CACNA1A
Cd209a	CD209
Cd70	CD70
Cd97	CD97
Cdkn2d	CDKN2D
Celf5	CELF5
Cd209d	CLEC4M
Fstl3	FSTL3
Pin1	PIN1
Ppan	PPAN
Ppap2c	PPAP2C
Rpl18a	RPL18A
Sgta	SGTA
Snapc2	SNAPC2
Snora68	SNORA68
Ubxn6	UBXN6
Ushbp1	USHBP1
Zfp317	ZNF317
Lass1	CERS1
Crlf1	CRLF1
Ddx49	DDX49
F2rl3	F2RL3
Fkbp8	FKBP8
Gdf1	GDF1
Gm16464	LOC641367
Lpar2	LPAR2
Ncan	NCAN
Pbx4	PBX4
Rfxank	RFXANK
Rtbdn	RTBDN
Sugp2	SUGP2
Tmem59l	TMEM59L
Zfp712	ZNF493
Zfp457	ZNF93
Man2b1	MAN2B1
Chmp2a	CHMP2A
Syt5	SYT5
Hpn	HPN
1600014C10Rik	C19orf12
Ccne1	CCNE1
Dyrk1b	DYRK1B
Megf8	MEGF8
Pdcd5	PDCD5
Plekhf1	PLEKHF1
Polr2i	POLR2I
Pop4	POP4
Tshz3	TSHZ3
Uba2	UBA2
Uqcrfs1	UQCRFS1
C80913	URI1
Vstm2b	VSTM2B
Zfp536	ZNF536
Actn4	ACTN4
Bcat2	BCAT2
Dll3	DLL3
Erf	ERF
Kcnj14	KCNJ14
Klc3	KLC3
Klk10	KLK10
Klk8	KLK8
Plaur	PLAUR
Rpl18	RPL18
Sirt2	SIRT2
Slc17a7	SLC17A7
Spred3	SPRED3
Supt5h	SUPT5H
Tfpt	TFPT
Tomm40	TOMM40
Usf2	USF2
Vrk3	VRK3
Akt2	AKT2
Aplp1	APLP1
Atp4a	ATP4A
Axl	AXL
Bckdha	BCKDHA
Bcl3	BCL3
Blvrb	BLVRB
Catsperg1	CATSPERG
Cd22	CD22
Cebpa	CEBPA
Chst8	CHST8
Clc	CLC
Cox6b1	COX6B1
Cox7a1	COX7A1
Cyp2s1	CYP2S1
Ech1	ECH1
Exosc5	EXOSC5
Fbl	FBL
Ffar1	FFAR1
Ffar2	FFAR2
Ffar3	FFAR3
Fgf21	FGF21
Fxyd1	FXYD1
Gpi1	GPI
Grin2d	GRIN2D
Hamp	HAMP
Hcst	HCST
Itpkc	ITPKC
Kcnk6	KCNK6
Lin37	LIN37
Ltbp4	LTBP4
Mag	MAG
Map4k1	MAP4K1
Wbp7	MLL4
Mrps12	MRPS12
Nfkbib	NFKBIB
Nphs1	NPHS1
Paf1	PAF1
Pafah1b3	PAFAH1B3
Ppp1r14a	PPP1R14A
Prodh2	PRODH2
Rasgrp4	RASGRP4
Rps16	RPS16
Ryr1	RYR1
Scn1b	SCN1B
Sertad1	SERTAD1
Slc6a16	SLC6A16
Slc7a10	SLC7A10
Slc7a9	SLC7A9
Snrpa	SNRPA
Spint2	SPINT2
Tgfb1	TGFB1
Tmem147	TMEM147
Tulp2	TULP2
Tyrobp	TYROBP
Zbtb32	ZBTB32
Zfp36	ZFP36
Zfp146	ZNF146
Ankrd27	ANKRD27
C230052I12Rik	C19orf40
Cebpg	CEBPG
Ccdc123	CEP89
Dpy19l3	DPY19L3
Gpatch1	GPATCH1
Kctd15	KCTD15
4931406P16Rik	KIAA0355
Lrp3	LRP3
Lsm14a	LSM14A
Nudt19	NUDT19
Pdcd2l	PDCD2L
Pepd	PEPD
Psmc4	PSMC4
Rgs9bp	RGS9BP
Rhpn2	RHPN2
Tbcb	TBCB
Tdrd12	TDRD12
Wdr88	WDR88
Wtip	WTIP
Zfp507	ZNF507
Zfp599	ZNF599
Alkbh6	ALKBH6
Arhgap33	ARHGAP33
AI428936	C19orf46
BC053749	C19orf55
Capns1	CAPNS1
Clip3	CLIP3
Dmkn	DMKN
Etv2	ETV2
Fam187b	FAM187B
Fxyd3	FXYD3
Fxyd5	FXYD5
Fxyd7	FXYD7
Gapdhs	GAPDHS
Haus5	HAUS5
Hspb6	HSPB6
Tmem149	IGFLR1
Kirrel2	KIRREL2
Krtdap	KRTDAP
Lgi4	LGI4
Lrfn3	LRFN3
Lsr	LSR
Nfkbid	NFKBID
Ovol3	OVOL3
Psenen	PSENEN
Rbm42	RBM42
Sdhaf1	SDHAF1
U2af1l4	U2AF1L4
Wdr62	WDR62
Zfp14	ZFP14
Zfp30	ZFP30
Zfp82	ZFP82
Zfp260	ZNF260
Zfp382	ZNF382
Zfp383	ZNF383
Zfp420	ZNF420
Zfp84	ZNF565
Zfp566	ZNF566
Zfp74	ZNF569
Zfp677	ZNF571
Zfp27	ZNF585A
Zfp790	ZNF790
Gm7221	ZNF850
Arhgef1	ARHGEF1
Gramd1a	GRAMD1A
Il28a	IL28A
Il28b	IL28B
Numbl	NUMBL
Sbsn	SBSN
Sipa1l3	SIPA1L3
Spnb4	SPTBN4
Upk1a	UPK1A
Adck4	ADCK4
Ap2s1	AP2S1
Apoc1	APOC1
Apoc2	APOC2
Apoc4	APOC4
Apoe	APOE
Atp5sl	ATP5SL
B3gnt8	B3GNT8
B9d2	B9D2
Bcam	BCAM
2200002D01Rik	C19orf33
2310022A10Rik	C19orf47
BC024978	C19orf54
Calm3	CALM3
Capn12	CAPN12
Cblc	CBLC
Ccdc97	CCDC97
Cd177	CD177
Cd79a	CD79A
Ceacam1	CEACAM1
Ceacam2	CEACAM21
Ceacam3	CEACAM3
Cfm1	CFM1
Cic	CIC
Cnfn	CNFN
Cxcl17	CXCL17
Cyp2a4	CYP2A6
Cyp2b10	CYP2B6
Cyp2f2	CYP2F1
Cyp2g1	CYP2G1P
Dedd2	DEDD2
Dmrtc2	DMRTC2
Dpf1	DPF1
Egln2	EGLN2
Eid2	EID2
Eid2b	EID2B
Eif3k	EIF3K
Fam98c	FAM98C
Fbxo17	FBXO17
Fbxo27	FBXO27
Foxa3	FOXA3
Ggn	GGN
Gmfg	GMFG
Grik5	GRIK5
Gsk3a	GSK3A
Hipk4	HIPK4
Hnrnpl	HNRNPL
Hnrnpul1	HNRNPUL1
Kcnn4	KCNN4
Lgals4	LGALS4
Lgals7	LGALS7
Lig1	LIG1
Lipe	LIPE
Gm4881	LOC390937
Gm6537	LOC643669
Lrfn1	LRFN1
Lypd4	LYPD4
Map3k10	MAP3K10
Med29	MED29
Nccrp1	NCCRP1
Npas1	NPAS1
Pak4	PAK4
C330005M16Rik	PAPL
Pglyrp1	PGLYRP1
Pik3r2	PIK3R2
Pld3	PLD3
Plekhg2	PLEKHG2
Pou2f2	POU2F2
Ppp1r15a	PPP1R15A
Prr19	PRR19
Prx	PRX
Psmd8	PSMD8
Pvr	PVR
Pvrl2	PVRL2
Rab4b	RAB4B
Rabac1	RABAC1
Rinl	RINL
Rps19	RPS19
Samd4b	SAMD4B
Sars2	SARS2
BC089491	SELV
Sertad3	SERTAD3
Shkbp1	SHKBP1
Snrpd2	SNRPD2
Sphk2	SPHK2
Strn4	STRN4
Sycn	SYCN
Timm50	TIMM50
Tmem145	TMEM145
Tmem91	TMEM91
n-Ts2	TRNAU1
Ttc9b	TTC9B
Vasp	VASP
Xrcc1	XRCC1
Yif1b	YIF1B
Zfp112	ZFP112
Zfp180	ZNF180
Zfp93	ZNF235
Zfp526	ZNF526
Zfp11	ZNF546
Zfp574	ZNF574
Zfp780b	ZNF780B
Grlf1	ARHGAP35
Asna1	ASNA1
Atf5	ATF5
Bax	BAX
Bbc3	BBC3
Bcl2l12	BCL2L12
C5ar1	C5AR1
Car11	CA11
Cd33	CD33
Cd37	CD37
Cd3eap	CD3EAP
Clasrp	CLASRP
Clec11a	CLEC11A
Clptm1	CLPTM1
Crx	CRX
Dbp	DBP
Dhdh	DHDH
Dhx34	DHX34
Dmpk	DMPK
Dmwd	DMWD
Ehd2	EHD2
Emp3	EMP3
Ercc2	ERCC2
Etfb	ETFB
Fbxo46	FBXO46
Fcgrt	FCGRT
Flt3l	FLT3LG
Fpr3	FPR2
Fut1	FUT1
Fut2	FUT2
Gipr	GIPR
Gltscr1	GLTSCR1
Gltscr2	GLTSCR2
Gpr4	GPR4
Gys1	GYS1
Hrc	HRC
Il11	IL11
Il4i1	IL4I1
Irf3	IRF3
Kcna7	KCNA7
Kdelr1	KDELR1
Klk14	KLK14
Klk6	KLK6
Lin7b	LIN7B
Mark4	MARK4
Med25	MED25
Nova2	NOVA2
Nr1h2	NR1H2
Ntf5	NTF4
Pla2g4c	PLA2G4C
Pnkp	PNKP
Pold1	POLD1
Ppp5c	PPP5C
Prkd2	PRKD2
Prmt1	PRMT1
Ptgir	PTGIR
Rpl13a	RPL13A
Rps11	RPS11
Rras	RRAS
Rsph6a	RSPH6A
Ruvbl2	RUVBL2
Scaf1	SCAF1
Sepw1	SEPW1
Shank1	SHANK1
Siglecg	SIGLEC10
Siglec5	SIGLEC5
Siglece	SIGLEC7
Siglech	SIGLECP3
Slc1a5	SLC1A5
Slc8a2	SLC8A2
Snord32a	SNORD32A
Snord33	SNORD33
Snord34	SNORD34
Snord35b	SNORD35B
Snrnp70	SNRNP70
Spib	SPIB
Sult2a1	SULT2A1
Sult2b1	SULT2B1
Sympk	SYMPK
Syngr4	SYNGR4
Tead2	TEAD2
Tsks	TSKS
Atp1a3	ATP1A3
Cadm4	CADM4
Ceacam19	CEACAM19
Ceacam20	CEACAM20
Ethe1	ETHE1
2210010C17Rik	IGSF23
Irgc1	IRGC
Irgq	IRGQ
2310033E01Rik	LOC390940
Lypd3	LYPD3
Lypd5	LYPD5
Phldb3	PHLDB3
1500002O20Rik	SMG9
Tex101	TEX101
Zfp229	ZNF229
Zfp428	ZNF428
Zfp575	ZNF575
Bloc1s3	BLOC1S3
Ccdc61	CCDC61
Ccdc8	CCDC8
Ccdc9	CCDC9
Ceacam16	CEACAM16
Ckm	CKM
Dact3	DACT3
Eml2	EML2
Ercc1	ERCC1
Exoc3l2	EXOC3L2
Fkrp	FKRP
Fosb	FOSB
Gemin7	GEMIN7
Gng8	GNG8
Hif3a	HIF3A
Igfl3	IGFL3
